index,title,subtitle,authors,published,isbn_10,isbn_13
0,Plenty More,Vibrant Vegetable Cooking from London's Ottolenghi,Yotam Ottolenghi ,2014,1607746212,9781607746218
1,"Climbing New Hampshire's 48 4,000 Footers",From the Easiest Hikes to the Most Challenging Climbs,Eli Burakian ,2018-06,1493031112,9781493031115
2,The Handmaid's Tale,,Margaret Atwood ,1998,038549081X,9780385490818
3,American History,A Very Short Introduction,Paul S. Boyer ,2012-08-09,019538914X,9780195389142
4,Die Hauptstadt,,Robert Menasse ,2018-10-02,3518469207,9783518469200
5,The Scientific Revolution,,Steven Shapin ,1996,0226750213,9780226750217
6,Rick Steves Italy 2018,,Rick Steves ,2017-11-28,163121666X,9781631216664
7,Fodor's Essential Italy,,Fodor's Travel Guides ,2017-07-25,1101880015,9781101880012
8,The Railroad Artistry of Howard Fogg,,Ronald C. Hill | Al Chione | Howard Fogg ,1999,0768321123,9780768321128
9,The National Parks,An Illustrated History,Kim Heacox ,2015-10-27,1426215592,9781426215599
10,Plenty,Vibrant Recipes from London's Ottolenghi,Yotam Ottolenghi ,2011-03-23,1452101248,9781452101248
11,Ben & Jerry's Homemade Ice Cream & Dessert Book,,Ben Cohen | Jerry Greenfield | Nancy Stevens ,1987-01-05,0894803123,9780894803123
12,The Hours,A Novel,Michael Cunningham ,2002-11-09,0312305060,9780312305062
13,50 Ways to Eat Cock,Healthy Chicken Recipes with Balls!,Adrienne N. Hew ,2013,148259143X,9781482591439
14,Think Python,How to Think Like a Computer Scientist,Allen B. Downey ,2015-12-15,1491939362,9781491939369
15,Automate the Boring Stuff with Python,Practical Programming for Total Beginners,Al Sweigart ,2015-04-14,1593275994,9781593275990
16,The China Study,"The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-term Health",T. Colin Campbell | Thomas M. Campbell (II) ,2016,1941631568,9781941631560
17,Lonely Planet Pocket Boston,,Lonely Planet ,2017-12,1786572508,9781786572509
