OBJECTID,LINE,ROUTE,GRADE,SHAPELEN
1,GREEN,C D,7,458.876292471409
2,GREEN,B C D E,7,2121.00614656002
3,RED,A - Ashmont B - Braintree  C - Alewife,7,7955.7088385648
4,GREEN,C E,7,1241.87369232933
5,GREEN,B C D,7,1466.20131219732
6,GREEN,B - Boston College,2,6559.3382555231
7,GREEN,D - Riverside,1,13068.0039895924
34,BLUE,Bowdoin to Wonderland,7,3228.19429341172
35,BLUE,Bowdoin to Wonderland,7,144.673946697447
36,BLUE,Bowdoin to Wonderland,1,494.303254661527
37,BLUE,Bowdoin to Wonderland,7,15.7686177827347
38,BLUE,Bowdoin to Wonderland,6,268.978561989745
39,ORANGE,Forest Hills to Oak Grove,1,2946.01578671614
40,ORANGE,Forest Hills to Oak Grove,7,105.312585006364
41,ORANGE,Forest Hills to Oak Grove,1,1342.32640467103
42,ORANGE,Forest Hills to Oak Grove,4,368.215578223225
43,ORANGE,Forest Hills to Oak Grove,1,3010.70693748357
44,GREEN,C - Cleveland Circle,2,3803.50199007286
45,GREEN,E - Lechmere,4,1126.63348974118
46,RED,B - Braintree  C - Alewife,1,9447.47297197196
47,BLUE,Bowdoin to Wonderland,1,5410.21727276023
48,GREEN,E - Health Street,2,1595.51673042666
49,ORANGE,Forest Hills to Oak Grove,7,1137.22419140729
50,RED,Mattapan Trolley,3,3873.64396010614
51,RED,A - Ashmont  C - Alewife,1,3446.81029688609
52,SILVER,SL4 SL5,3,483.114997114569
53,SILVER,SL4 SL5,3,296.219670410308
54,SILVER,SL4 SL5,3,471.048222043967
55,SILVER,SL4 SL5,3,163.99709825692
56,SILVER,SL4 SL5,3,207.484632223002
57,SILVER,SL4 SL5,3,184.991906286459
58,SILVER,SL4 SL5,3,484.885756963984
59,SILVER,SL4 SL5,3,420.509778789355
60,SILVER,SL4 SL5,3,366.376866177
61,SILVER,SL4 SL5,3,269.302491135799
62,SILVER,SL1 SL3,7,2360.5915267887
63,SILVER,SL4 SL5,3,160.536268905472
64,SILVER,SL4 SL5,3,166.407274097075
65,SILVER,SL2,3,105.465687206434
66,SILVER,SL2,3,1330.30632696413
67,SILVER,SL5,3,300.484982625796
68,SILVER,SL5,3,447.005837547638
69,SILVER,SL5,3,403.70214463579
70,SILVER,SL3,3,66.0114021937246
71,SILVER,SL1,7,176.32990135902
72,SILVER,SL1 SL3,3,432.863531294916
73,SILVER,SL1,3,808.373859703596
74,SILVER,SL3,1,438.167678471989
75,SILVER,SL3,3,1296.90762652569
76,SILVER,SL3,3,1065.4952596503
77,SILVER,SL3,3,1853.77217636283
78,SILVER,SL3,3,103.311367845294
79,SILVER,SL3,3,1730.80322378483
80,SILVER,SL3,3,79.5383146678452
81,SILVER,SL3,1,439.557315389288
82,SILVER,SL3,1,680.245153780218
83,SILVER,SL3,1,590.780545438331
84,SILVER,SL3,1,819.160962575028
85,SILVER,SL3,1,806.380175736673
86,ORANGE,Forest Hills to Oak Grove,7,3332.28926543686
87,ORANGE,Forest Hills to Oak Grove,7,166.089139815621
88,ORANGE,Forest Hills to Oak Grove,6,496.645176892474
89,ORANGE,Forest Hills to Oak Grove,7,194.778564514722
90,ORANGE,Forest Hills to Oak Grove,6,304.179879145414
91,ORANGE,Forest Hills to Oak Grove,7,90.1819272023843
92,ORANGE,Forest Hills to Oak Grove,6,353.459990047509
93,ORANGE,Forest Hills to Oak Grove,7,106.413002212402
94,ORANGE,Forest Hills to Oak Grove,6,160.414006972917
95,ORANGE,Forest Hills to Oak Grove,7,156.701642897147
8,SILVER,SL1,3,3317.06910537115
9,SILVER,SL2,3,261.413157253116
10,SILVER,SL2,3,197.557576518719
11,SILVER,SL2,3,362.162955406171
12,SILVER,SL1 SL2,7,289.127802336599
13,SILVER,SL1 SL2,3,86.401797482594
14,SILVER,SL1 SL2 SL3,3,402.026246713903
15,SILVER,SL1 SL2 SL3,7,606.215576476419
16,SILVER,SL1 SL2 SL3,7,609.172470806925
17,SILVER,SL1 SL2 SL3,3,422.79606365767
18,SILVER,SL1 SL2 SL3,3,93.4546666879857
19,SILVER,SL1 SL2 SL3,7,750.068285567521
20,SILVER,SL1 SL2 SL3,7,733.119613313379
21,SILVER,SL4,3,596.306332785431
22,SILVER,SL4 SL5,3,138.320598731561
23,SILVER,SL4 SL5,3,366.260212937202
24,SILVER,SL4 SL5,3,270.061148663584
25,SILVER,SL4 SL5,3,446.251995847559
26,SILVER,SL4 SL5,3,457.257875180397
27,SILVER,SL4 SL5,3,225.457614859633
28,SILVER,SL4 SL5,3,165.40945350702
29,SILVER,SL4 SL5,3,211.593011585121
30,SILVER,SL4 SL5,3,307.557068876372
31,SILVER,SL4,3,372.152052068113
32,SILVER,SL4,3,359.719156172527
33,SILVER,SL4,3,169.443332477884
96,ORANGE,Forest Hills to Oak Grove,6,652.765205285924
97,ORANGE,Forest Hills to Oak Grove,7,311.026301696708
98,ORANGE,Forest Hills to Oak Grove,6,1059.7831329464
99,ORANGE,Forest Hills to Oak Grove,7,346.799417269444
100,ORANGE,Forest Hills to Oak Grove,6,819.547034366239
101,ORANGE,Forest Hills to Oak Grove,6,377.039786052987
102,GREEN,D - Riverside,1,1618.95754328147
103,GREEN,D - Riverside,7,196.041784400899
104,GREEN,D - Riverside,7,199.124804339242
105,GREEN,C - Cleveland Circle,7,360.242404805336
106,GREEN,B - Boston College,7,184.396047005587
107,GREEN,E - Health Street,3,1132.03097711598
108,GREEN,E - Health Street,7,1230.95675168801
109,GREEN,E - Lechmere,1,233.178886794951
110,RED,A - Ashmont B - Braintree  C - Alewife,7,4670.03407173009
111,RED,A - Ashmont B - Braintree  C - Alewife,4,1052.35923917467
112,RED,A - Ashmont B - Braintree  C - Alewife,1,104.586125067658
113,RED,B - Braintree  C - Alewife,4,367.982996449355
114,RED,A - Ashmont  C - Alewife,4,359.868327528322
115,RED,B - Braintree  C - Alewife,1,3687.56010427566
116,RED,B - Braintree  C - Alewife,4,381.79108630299
117,RED,A - Ashmont  C - Alewife,7,1312.66638984675
118,RED,A - Ashmont  C - Alewife,1,217.251358265444
119,RED,Mattapan Trolley,1,215.189071061572
120,RED,B - Braintree  C - Alewife,1,572.211449068311
121,RED,B - Braintree  C - Alewife,4,356.328255534329
122,SILVER,SL1 SL3,3,600.244638701015
123,SILVER,SL1,3,79.8158794695083
124,SILVER,SL3,7,177.428730664148
125,SILVER,SL1,7,108.613556720052
126,SILVER,SL3,7,108.362262981685
127,SILVER,SL1 SL3,3,249.93923029571
128,SILVER,SL1 SL3,3,646.769839244626
129,SILVER,SL1 SL3,7,245.792319599866
130,SILVER,SL1 SL3,3,269.339867291802
131,SILVER,SL1 SL3,7,183.464784502785
132,SILVER,SL1 SL3,7,105.66020385315
133,SILVER,SL1 SL3,7,42.4726697235957
134,SILVER,SL1 SL3,7,2321.64246390509
135,SILVER,SL1 SL3,3,16.8167076359048
136,SILVER,SL2,3,367.112317635273
137,SILVER,SL2,3,702.16588857682
138,SILVER,SL2,3,10.6524408514273
